task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
1	89/74d952	UMI_PIPELINE:PARSE_BED	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:24.992	2025-09-02 11:10:25.685	745ms	3ms	808 KB	4 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/89/74d95291870f0986d73cf6c2ff1d18	0.0%	82.1%	0
2	08/9b82a6	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:25.498	2025-09-02 11:10:32.549	7.1s	5.9s	111 MB	93.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/08/9b82a68397c0648eec1867dd271095	0.0%	74.4%	125.8 MB
8	6b/218767	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:33.057	2025-09-02 11:10:34.861	1.9s	1.3s	2.8 MB	37.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/6b/218767cffd7bf968de46af286bb540	0.3%	1494.5%	25.8 GB
9	ff/029f69	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:34.961	2025-09-02 11:10:37.959	3.1s	2.5s	536 KB	93.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ff/029f692a2d6993d2b10df8db42e072	0.0%	100.1%	124.8 MB
10	65/cfca46	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:38.260	2025-09-02 11:10:40.174	2s	1.4s	2 MB	65.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/65/cfca46d73ca1aa96ca6c09d92e2f41	0.0%	98.0%	128.1 MB
6	9b/231657	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:25.493	2025-09-02 11:10:49.046	23.6s	22.7s	490.5 MB	395.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9b/231657a34014575ecfe7bb880e2194	0.0%	81.6%	126 MB
3	1b/cc1954	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:25.496	2025-09-02 11:10:49.181	23.7s	22.2s	465.7 MB	393.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/1b/cc1954068554991b55ba8714f3f604	0.0%	82.2%	125.8 MB
5	81/a83f92	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:25.497	2025-09-02 11:10:49.333	23.9s	22.5s	467.6 MB	398.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/81/a83f92466dc49032a1effdd24c01b1	0.0%	82.4%	126 MB
4	4e/a87b1a	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:25.499	2025-09-02 11:10:49.417	23.9s	22.5s	466 MB	393.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/4e/a87b1ae3a0ca59ef3e96b1242406c4	0.0%	82.5%	126 MB
7	9a/dc6a36	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:25.498	2025-09-02 11:10:49.494	24s	22.6s	467.6 MB	396.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9a/dc6a36787f87ed00c54a7055f4e1ba	0.0%	81.1%	125.9 MB
11	65/f3f73a	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:50.195	2025-09-02 11:10:59.988	9.9s	8.7s	16 KB	158.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/65/f3f73aa01517b5839b59379b095d17	1.1%	941.2%	26.2 GB
12	a6/15d4af	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:51.196	2025-09-02 11:11:03.849	12.7s	10.6s	8 KB	157.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/a6/15d4afa7a325396510a5ffc1c878d7	1.1%	778.4%	26.7 GB
13	b3/ad8f6b	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:10:52.880	2025-09-02 11:11:04.412	11.6s	10.4s	16 KB	158.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b3/ad8f6bc0b352bda51bcf891ac0354a	1.1%	804.6%	26.2 GB
